# To display the perf.data header info, please use --header/--header-only options.
#
# Samples: 10K of event 'cpu/mem-loads/pp'
# Total weight : 96938
# Sort order   : (null)
#
# Overhead       Samples  Local Weight             Memory access                  Symbol      Shared Object             Data Symbol             Data Object         Snoop              TLB access  Locked
# ........  ............  ............  ........................  ......................  .................  ......................  ......................  ............  ......................  ......
#
     0.46%            37  12            L1 hit                    [.] 0x0000000000000acd  a.out              [.] 0x00007fff57e14684  [stack]                 None          L1 or L2 hit            No    
     0.40%            30  13            L1 hit                    [.] 0x0000000000039be6  libc-2.17.so       [.] 0x00007fff57e1464c  [stack]                 None          L1 or L2 hit            No    
     0.36%            29  12            L1 hit                    [.] 0x0000000000000a93  a.out              [.] 0x00007fff57e14684  [stack]                 None          L1 or L2 hit            No    
     0.30%             1  295           L3 miss                   [.] 0x000000000000085f  a.out              [.] 0x00007f2f50035000  anon                    N/A           L2 miss                 No    
     0.30%            42  7             L1 hit                    [.] 0x0000000000000ac9  a.out              [.] 0x00007fff57e14684  [stack]                 None          L1 or L2 hit            No    
     0.29%            40  7             L1 hit                    [.] 0x000000000003a0cd  libc-2.17.so       [.] 0x00007fff57e14668  [stack]                 None          L1 or L2 hit            No    
     0.28%            39  7             L1 hit                    [.] 0x00000000000006a0  a.out              [.] 0x0000000000602068  a.out                   None          L1 or L2 hit            No    
     0.28%            39  7             L1 hit                    [.] 0x0000000000039dee  libc-2.17.so       [.] 0x00007f2f54d86718  libc-2.17.so            None          L1 or L2 hit            No    
     0.27%            38  7             L1 hit                    [.] 0x0000000000000ab5  a.out              [.] 0x0000000000400dd8  [unknown]               None          L1 or L2 hit            No    
     0.27%            37  7             L1 hit                    [.] 0x0000000000039df9  libc-2.17.so       [.] 0x00007f2f54d86700  libc-2.17.so            None          L1 or L2 hit            No    
     0.27%            37  7             L1 hit                    [.] 0x0000000000039dfc  libc-2.17.so       [.] 0x00007f2f54d86708  libc-2.17.so            None          L1 or L2 hit            No    
     0.26%            36  7             L1 hit                    [.] 0x0000000000039bc2  libc-2.17.so       [.] 0x00007f2f54d8c014  anon                    None          L1 or L2 hit            No    
     0.25%            35  7             L1 hit                    [.] 0x0000000000039df1  libc-2.17.so       [.] 0x00007f2f54d86710  libc-2.17.so            None          L1 or L2 hit            No    
     0.25%            35  7             L1 hit                    [.] 0x0000000000039e2d  libc-2.17.so       [.] 0x00007fff57e14638  [stack]                 None          L1 or L2 hit            No    
     0.24%            29  8             L1 hit                    [.] 0x0000000000039ba4  libc-2.17.so       [.] 0x00007f2f54d886e0  anon                    None          L1 or L2 hit            No    
     0.24%             1  228           Remote RAM (1 hop) hit    [k] 0xffffffff813cd98a  [kernel.kallsyms]  [k] 0xffff88101e801198  [kernel.kallsyms]       None or Hit   L1 or L2 hit            No    
     0.23%            32  7             L1 hit                    [.] 0x0000000000039bda  libc-2.17.so       [.] 0x00007f2f54d886e0  anon                    None          L1 or L2 hit            No    
     0.22%            31  7             L1 hit                    [.] 0x0000000000039b8b  libc-2.17.so       [.] 0x00007f2f54d8c014  anon                    None          L1 or L2 hit            No    
     0.21%            25  8             L1 hit                    [.] 0x0000000000000aa0  a.out              [.] 0x00007fff57e14688  [stack]                 None          L1 or L2 hit            No    
     0.20%            28  7             L1 hit                    [.] 0x0000000000039e00  libc-2.17.so       [.] 0x00007f2f54d86728  libc-2.17.so            None          L1 or L2 hit            No    
     0.18%            25  7             L1 hit                    [.] 0x0000000000000858  a.out              [.] 0x00007fff57e141b8  [stack]                 None          L1 or L2 hit            No    
     0.18%            25  7             L1 hit                    [.] 0x0000000000000887  a.out              [.] 0x00007fff57e14438  [stack]                 None          L1 or L2 hit            No    
     0.17%            23  7             L1 hit                    [.] 0x0000000000039bef  libc-2.17.so       [.] 0x00007fff57e14658  [stack]                 None          L1 or L2 hit            No    
     0.16%            13  12            L1 hit                    [.] 0x000000000000087a  a.out              [.] 0x00007fff57e13fcc  [stack]                 None          L1 or L2 hit            No    
